IATA,IACO,name,city,province,state,country,wiki,lat,lng
IFL,YIFL,Innisfail Airport,Innisfail,, Queensland, Australia,http://en.wikipedia.org/w/index.php?title=Innisfail_Airport_%28Australia%29&action=edit&redlink=1#,-17.5611,146.0106
MPA,FYKM,Katima Mulilo Airport (Mpacha Airport),Katima Mulilo,,, Namibia,http://en.wikipedia.org/wiki/Katima_Mulilo_Airport#,-17.6342,24.1767
VVI,SLVR,Viru Viru International Airport,Santa Cruz,,, Bolivia,http://en.wikipedia.org/wiki/Viru_Viru_International_Airport#,-17.6447,-63.1353
CRQ,SBCV,Caravelas Airport,Caravelas,, Bahia, Brazil,http://en.wikipedia.org/w/index.php?title=Caravelas_Airport&action=edit&redlink=1#,-17.65,-39.2539
MNF,NFMA,Mana Island Airport,Mana Island,,, Fiji,http://en.wikipedia.org/wiki/Mana_Island_Airport#,-17.6731,177.0983
AMY,,Ambatomainty Airport,Ambatomainty,,, Madagascar,http://en.wikipedia.org/wiki/Ambatomainty_Airport#,-17.683,45.617
ILQ,SPLO,Ilo Airport,Ilo,, Moquegua Region, Peru,http://en.wikipedia.org/wiki/Ilo_Airport#,-17.6908,-71.3408
VLI,NVVV,Bauerfield International Airport,Port Vila,,, Vanuatu,http://en.wikipedia.org/wiki/Bauerfield_International_Airport#,-17.6993,168.3198
LEV,NFNB,Levuka Airfield,Bureta,, Ovalau Island, Fiji,http://en.wikipedia.org/wiki/Levuka_Airfield#,-17.7111,178.7586
CLV,SWKN,Caldas Novas Airport,Caldas Novas,, Goiás, Brazil,http://en.wikipedia.org/wiki/Caldas_Novas_Airport#,-17.7247,-48.61
ICI,NFCI,Cicia Airport,Cicia,,, Fiji,http://en.wikipedia.org/wiki/Cicia_Airport#,-17.7433,-179.3422
BUC,YBKT,Burketown Airport,Burketown,, Queensland, Australia,http://en.wikipedia.org/wiki/Burketown_Airport#,-17.7483,139.535
NAN,NFFN,Nadi International Airport,Nadi,,, Fiji,http://en.wikipedia.org/wiki/Nadi_International_Airport#,-17.7564,177.4436
SRZ,SLET,El Trompillo Airport,Santa Cruz de la Sierra,,, Bolivia,http://en.wikipedia.org/wiki/El_Trompillo_Airport#,-17.8006,-63.1772
LVI,FLLI,Livingstone Airport,Livingstone,,, Zambia,http://en.wikipedia.org/wiki/Livingstone_Airport#,-17.8123,25.82
JTI,,Jatai Airport,Jatai,, Goiás, Brazil,http://en.wikipedia.org/w/index.php?title=Jatai_Airport&action=edit&redlink=1#,-17.8294,-51.7747
BBK,FBKE,Kasane Airport,Kasane,,, Botswana,http://en.wikipedia.org/wiki/Kasane_Airport#,-17.8297,25.1631
UEL,FQQL,Quelimane Airport,Quelimane,,, Mozambique,http://en.wikipedia.org/wiki/Quelimane_Airport#,-17.85,36.8667
HRE,FVHA,Harare International Airport,Harare,,, Zimbabwe,http://en.wikipedia.org/wiki/Harare_International_Airport#,-17.9328,31.0939
DMD,YDMG,Doomadgee Mission Airport,Doomadgee Mission,, Queensland, Australia,http://en.wikipedia.org/wiki/Doomadgee_Mission_Airport#,-17.9333,138.8167
