IATA,IACO,name,city,province,state,country,wiki,lat,lng
YMN,CYFT,Makkovik Airport,Makkovik,, Newfoundland and Labrador, Canada,http://en.wikipedia.org/wiki/Makkovik_Airport#,55.0769,-59.1864
YMG,CYMG,Manitouwadge Airport,Manitouwadge,, Ontario, Canada,http://en.wikipedia.org/wiki/Manitouwadge_Airport#,,
YEM,CYEM,Manitowaning/Manitoulin East Municipal Airport,Manitowaning,, Ontario, Canada,http://en.wikipedia.org/wiki/Manitowaning/Manitoulin_East_Municipal_Airport#,45.8428,-81.8581
YMW,CYMW,Maniwaki Airport,Maniwaki,, Quebec, Canada,http://en.wikipedia.org/wiki/Maniwaki_Airport#,46.2728,-75.9906
YAQ,,Maple Bay Airport,Maple Bay,, British Columbia, Canada,0,,
YSP,CYSP,Marathon Aerodrome,Marathon,, Ontario, Canada,http://en.wikipedia.org/wiki/Marathon_Aerodrome#,48.7553,-86.3444
YMC,,Maricourt Airstrip,Maricourt,, Quebec, Canada,http://en.wikipedia.org/w/index.php?title=Maricourt_Airstrip&action=edit&redlink=1#,,
YMH,CYMH,Mary's Harbour Airport,Mary's Harbour,, Labrador, Canada,http://en.wikipedia.org/wiki/Mary%27s_Harbour_Airport#,52.3028,-55.8472
ZMT,CZMT,Masset Airport,Masset,, British Columbia, Canada,http://en.wikipedia.org/wiki/Masset_Airport#,54.0275,-132.1253
YNM,CYNM,Matagami Airport,Matagami,, Quebec, Canada,http://en.wikipedia.org/wiki/Matagami_Airport#,49.7617,-77.8028
YME,CYME,Matane Airport,Matane,, Quebec, Canada,http://en.wikipedia.org/wiki/Matane_Airport#,,
YMA,CYMA,Mayo Airport,Mayo,, Yukon, Canada,http://en.wikipedia.org/wiki/Mayo_Airport#,,
YLJ,CYLJ,Meadow Lake Airport,Meadow Lake,, Saskatchewan, Canada,http://en.wikipedia.org/wiki/Meadow_Lake_Airport_%28Saskatchewan%29#,54.1244,-108.5233
YXH,CYXH,Medicine Hat Airport,Medicine Hat,, Alberta, Canada,http://en.wikipedia.org/wiki/Medicine_Hat_Airport#,50.0189,-110.7208
YMB,,Merritt Airport (TC: CAD5),Merritt,, British Columbia, Canada,http://en.wikipedia.org/wiki/Merritt_Airport#,,
YGP,CYGP,Michel-Pouliot Gaspé Airport,Gaspé,, Quebec, Canada,http://en.wikipedia.org/wiki/Michel-Pouliot_Gasp%C3%A9_Airport#,48.7753,-64.4786
YMI,,Minaki Airport (TC: CJA6),Minaki,, Ontario, Canada,http://en.wikipedia.org/w/index.php?title=Minaki_Airport&action=edit&redlink=1#,,
YAV,,Miner's Bay Airport,Miner's Bay,, British Columbia, Canada,http://en.wikipedia.org/wiki/Miner%27s_Bay_Airport#,48.867,-123.3
YLP,CYLP,Mingan Airport,Mingan,, Quebec, Canada,http://en.wikipedia.org/w/index.php?title=Mingan_Airport&action=edit&redlink=1#,,
YCH,CYCH,Miramichi Airport,Miramichi,, New Brunswick, Canada,http://en.wikipedia.org/wiki/Miramichi_Airport#,47.0078,-65.4492
YMF,,Montague Harbour Airport,Montague Harbour,, British Columbia, Canada,http://en.wikipedia.org/w/index.php?title=Montague_Harbour_Airport&action=edit&redlink=1#,48.817,-123.2
YYY,CYYY,Mont-Joli Airport,Mont-Joli,, Quebec, Canada,http://en.wikipedia.org/wiki/Mont-Joli_Airport#,48.6086,-68.2081
